Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0907752936364037,-0.000460986291312686,0.011227466081566,0,0,0,3.22193376520188,0.00580202538592001,1.93643410745576E-06,7.04866117852106E-07,0.00722010442143998,3.86677335720296E-07,0.012512387462665,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00786741617842004,-0.0155948984609685,0.023255686661272,0,0,0,0.0651133753251555,1.48802639086072E-05,1.64845302056269E-08,-1.56454773175215E-07,1.75245555054544E-05,-2.96411876510436E-09,8.01010182899686E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint,Axis_left_front_wheel_suspension_joint,left_front_wheel_suspension_joint,prismatic,0.16352,0.0775901982858018,-0.0625778167969167,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.015839199018542,9.71445146547012E-17,-1.11022302462516E-16,0,0,0,0.22822169800504,0.000789211576333901,2.89375036991955E-20,6.39175605993767E-20,0.000410429434291421,-3.48977574268772E-19,0.000410429434291421,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,continuous,-0.019761,-0.021787,0.01,3.0841,0,3.1416,left_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.00415434378457435,-0.0156302499401892,0.0232556866612721,0,0,0,0.0651133753251555,1.48802639086072E-05,1.64845302056301E-08,1.56454773175217E-07,1.75245555054544E-05,2.96411876510205E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint,Axis_right_front_wheel_suspension_joint,right_front_wheel_suspension_joint,prismatic,0.16352,-0.0924098017141981,-0.0625778167969166,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.36043888598704E-20,5.74606485725436E-21,0.000410429434291421,-3.11708124589583E-19,0.00041042943429142,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint,Axis_right_front_wheel_joint,right_front_wheel_joint,continuous,0.0077391,-0.021785,0.01,0.1626,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,0.000445525343312547,-1.10630004968165E-05,0.00129821972548655,0,0,0,0.0436119949785296,2.35707056099611E-05,-1.01834758005031E-09,2.17579332532604E-08,4.29479078276671E-06,-8.85484504040341E-10,2.21058144654647E-05,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-6,Origin_cam,Axis_camera,camera,fixed,0.187402168745667,-0.00138831907815339,0.0607363291791636,0,0.785398163397447,0,base_link,0,0,0,,,,,,,,,,,,
camera2,0.000445525266833502,-1.10639236487395E-05,0.00129821764747486,0,0,0,0.0436119958611832,2.35707063464805E-05,-1.0183662640488E-09,2.17587007085052E-08,4.29479063311557E-06,-8.85041666161473E-10,2.21058153836914E-05,0,0,0,0,0,0,package://model20/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera2.STL,,Webcam_C920 - 복사본-5,Origin_cam2,Axis_camera2,camera2,fixed,0.184246194713152,-0.00139050228123667,0.123169082523395,0,0.174532925199424,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00868778989367713,-0.00242014065569162,-0.0287648859064543,0,0,0,0.0730845706123877,1.95808756096351E-05,-1.03933750344927E-07,4.28391241039135E-07,2.41250086763081E-05,-9.42709906914285E-09,4.1418452244397E-05,0,0,0,0,0,0,package://model20/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,0.119259482420036,-0.0091960486691496,0.191917816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,-0.0307407972140711,0.0490477681843309,-0.0509999999999956,0,0,0,0.000510000000000001,5.31250000000002E-09,-7.37257477290141E-26,-3.69426294538433E-27,5.31250000000002E-09,-2.21177243187046E-26,8.50000000000004E-09,0,0,0,0,0,0,package://model20/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/imu.STL,,imu-1,Origin_lidar_joint,Axis_imu,imu,fixed,0.119259482420036,-0.0091960486691496,0.191917816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_rear_wheel_suspension,-0.0078674161784201,-0.0155948984609685,0.0232556866612722,0,0,0,0.0651133753251555,1.48802639086072E-05,1.64845302056269E-08,-1.56454773175217E-07,1.75245555054544E-05,-2.96411876510503E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,,3.Suspension_L-2,Origin_left_rear_wheel_suspension_joint,Axis_left_rear_wheel_suspension_joint,left_rear_wheel_suspension_joint,prismatic,-0.09648,0.0775915130798368,-0.0625778167969167,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
